timestamp,id,description,severity,lat,lng,type,hour,location,Length_of_Time(Hours),incidents_per_town_hour,incidents_per_type,day_of_week,is_weekend,morning_rush,evening_rush,rush,location_numerical
2025-05-01 18:37:40.277973-04:00,3072632157073780392,Long-term road construction,1,42.0,-71.55362,1,18,North Smithfield,18.0,2,26,Thursday,False,0,1,1,0
2025-05-01 18:37:40.277979-04:00,518997330258543743,Road construction. Roadway reduced to two lanes,1,41.90887,-71.51033,1,18,Smithfield,18.0,2,39,Thursday,False,0,1,1,1
2025-05-01 18:37:40.277992-04:00,4346374307346776782,Road construction. Roadway reduced to two lanes,1,41.90603,-71.50895,1,18,Smithfield,18.0,2,39,Thursday,False,0,1,1,1
2025-05-01 18:37:40.277997-04:00,1049387701504135876,Construction work,1,41.41003,-71.85674,1,18,Pawcatuck,157.75,1,235,Thursday,False,0,1,1,2
2025-05-01 18:37:40.278014-04:00,2740846044082592177,Construction work,1,41.81669,-71.37605,1,18,East Providence,11.5,13,235,Thursday,False,0,1,1,3
2025-05-01 18:37:40.278030-04:00,1883626822443004934,Construction work,1,41.81639,-71.37521,1,18,East Providence,11.5,13,235,Thursday,False,0,1,1,3
2025-05-01 18:37:40.278038-04:00,4498144758110913427,On-ramp closed,1,41.90292,-71.44572,4,18,Lincoln,154.0,4,2,Thursday,False,0,1,1,4
2025-05-01 18:37:40.278043-04:00,1661436155088816045,Long-term road construction,1,41.99988,-71.55257,1,18,North Smithfield,18.0,2,26,Thursday,False,0,1,1,0
2025-05-01 18:37:40.278099-04:00,206411914728451102,Road maintenance operations,1,41.67551,-71.09575,1,18,Westport,4.5,1,657,Thursday,False,0,1,1,5
2025-05-01 18:37:40.278105-04:00,560185381850370408,Construction work,1,41.81619,-71.40007,1,18,Providence,17.25,14,235,Thursday,False,0,1,1,6
2025-05-01 18:37:40.278110-04:00,4212808032343694591,Construction work,1,41.95054,-71.40725,1,18,Cumberland,154.0,2,235,Thursday,False,0,1,1,7
2025-05-01 18:37:40.278147-04:00,3821156614332954656,Right lane closed,2,41.95643,-71.30369,1,18,Attleboro,4.5,1,52,Thursday,False,0,1,1,8
2025-05-01 18:37:40.278152-04:00,3920577664296470372,Road maintenance operations,1,41.68022,-71.1206,1,18,Fall River,4.5,11,657,Thursday,False,0,1,1,9
2025-05-01 18:37:40.278158-04:00,2164634193003880012,Road construction. Roadway reduced to two lanes,1,41.90308,-70.96526,1,18,Middleboro,2.5,1,39,Thursday,False,0,1,1,10
2025-05-01 18:37:40.278174-04:00,2555740880783823329,Construction work,1,41.95094,-71.39826,1,18,Cumberland,154.0,2,235,Thursday,False,0,1,1,7
2025-05-01 19:00:02.019367-04:00,4508577933129385729,Road construction. Right lane closed,1,41.37296,-71.98107,1,19,Mystic,9.75,2,46,Thursday,False,0,0,0,11
2025-05-01 19:15:01.373629-04:00,1368042016246710315,Road marking operations,1,41.97733,-71.84483,1,19,Thompson,70.0,3,6,Thursday,False,0,0,0,12
2025-05-01 19:15:01.373657-04:00,1820513340863336896,Road marking operations,1,41.78985,-71.87534,1,19,Danielson,70.0,2,6,Thursday,False,0,0,0,13
2025-05-01 19:15:01.373662-04:00,3788030946737415719,Road marking operations,1,41.94743,-71.88512,1,19,Thompson,70.0,3,6,Thursday,False,0,0,0,12
2025-05-01 19:15:01.373668-04:00,1319482299247358921,Road marking operations,1,41.94748,-71.88818,1,19,North Grosvenordale,70.0,3,6,Thursday,False,0,0,0,14
2025-05-01 19:15:01.373735-04:00,1748652234758017808,Road marking operations,1,41.79156,-71.87664,1,19,Danielson,70.0,2,6,Thursday,False,0,0,0,13
2025-05-01 19:15:01.373793-04:00,2631989082173622822,Road marking operations,1,41.97603,-71.84519,1,19,Thompson,70.0,3,6,Thursday,False,0,0,0,12
2025-05-01 20:00:01.580665-04:00,1166225705586709217,Off-ramp closed,1,41.42227,-71.84075,4,20,North Stonington,8.75,4,1,Thursday,False,0,0,0,15
2025-05-01 20:00:01.580881-04:00,4313973415991035279,Road construction. Right lane closed,1,41.41156,-71.85552,1,20,North Stonington,8.75,4,46,Thursday,False,0,0,0,15
2025-05-01 20:15:01.957978-04:00,776990988453089188,Road construction. Roadway reduced to one lane,1,41.74968,-71.21579,1,20,Swansea,7.0,1,11,Thursday,False,0,0,0,16
2025-05-01 20:15:01.958114-04:00,3121625190483776020,Road construction. Roadway reduced to two lanes,1,41.70353,-71.16002,1,20,Fall River,8.0,8,39,Thursday,False,0,0,0,9
2025-05-01 20:15:01.958144-04:00,77600365918014535,Road maintenance operations,1,41.71363,-71.17822,1,20,Somerset,8.0,7,657,Thursday,False,0,0,0,17
2025-05-01 21:15:01.614098-04:00,2366324755367932659,Road construction. Roadway reduced to two lanes,1,41.90308,-70.96526,1,21,Middleboro,0.75,2,39,Thursday,False,0,0,0,10
2025-05-01 21:15:01.614241-04:00,540788812250850276,Construction work,1,41.66656,-71.49843,1,21,East Greenwich,8.0,7,235,Thursday,False,0,0,0,18
2025-05-01 21:15:01.614266-04:00,4168492164917748812,Construction work,1,41.53093,-71.46651,1,21,North Kingstown,79.75,49,235,Thursday,False,0,0,0,19
2025-05-01 22:00:02.226587-04:00,2699691089211883168,Right lane closed,1,41.90308,-70.96526,1,22,Middleboro,2.25,1,52,Thursday,False,0,0,0,10
2025-05-01 22:15:01.553369-04:00,4251429078548212337,Road maintenance operations,3,41.52913,-71.46578,1,22,North Kingstown,1.0,30,657,Thursday,False,0,0,0,19
2025-05-01 22:15:01.553516-04:00,3077916443704156278,Road maintenance operations,1,41.71397,-71.17841,1,22,Somerset,6.0,5,657,Thursday,False,0,0,0,17
2025-05-01 22:30:02.160320-04:00,4111093199160250276,Road construction,1,41.44254,-71.79659,1,22,Ashaway,11.0,2,221,Thursday,False,0,0,0,20
2025-05-01 22:45:01.673848-04:00,746485921680144310,Road maintenance operations,3,41.53059,-71.46461,1,22,North Kingstown,1.0,30,657,Thursday,False,0,0,0,19
2025-05-01 23:15:01.838101-04:00,2075774506555318262,Road maintenance operations,3,41.52913,-71.46578,1,23,North Kingstown,1.0,25,657,Thursday,False,0,0,0,19
2025-05-01 23:15:01.838136-04:00,3920577664296470373,Road maintenance operations,1,41.68022,-71.1206,1,23,Fall River,1.0,12,657,Thursday,False,0,0,0,9
2025-05-01 23:15:01.838175-04:00,206411914728451103,Road maintenance operations,1,41.67551,-71.09575,1,23,Westport,1.0,5,657,Thursday,False,0,0,0,5
2025-05-01 23:15:01.838249-04:00,2811498752284472172,Right lane closed,2,41.95643,-71.30369,1,23,Attleboro,0.75,7,52,Thursday,False,0,0,0,8
2025-05-01 23:45:01.938609-04:00,116973982830059059,Road maintenance operations,3,41.53059,-71.46461,1,23,North Kingstown,1.0,25,657,Thursday,False,0,0,0,19
2025-05-01 23:45:01.938649-04:00,1314783007901090482,Road construction,1,41.40853,-71.85783,1,23,Pawcatuck,9.75,1,221,Thursday,False,0,0,0,2
2025-05-02 00:00:02.520767-04:00,2811498752283573351,Right lane closed,2,41.95643,-71.30369,1,0,Attleboro,0.25,12,52,Friday,False,0,0,0,8
2025-05-02 00:15:02.055550-04:00,2075774506557570126,Road maintenance operations,3,41.52913,-71.46578,1,0,North Kingstown,1.0,26,657,Friday,False,0,0,0,19
2025-05-02 00:15:02.055556-04:00,3920577664296470377,Road maintenance operations,1,41.68022,-71.1206,1,0,Fall River,21.75,8,657,Friday,False,0,0,0,9
2025-05-02 00:15:02.055630-04:00,2811498752287785456,Right lane closed,2,41.95643,-71.30369,1,0,Attleboro,6.0,12,52,Friday,False,0,0,0,8
2025-05-02 00:15:02.055635-04:00,3000786591499728487,Right lane closed,1,41.78523,-70.73523,1,0,West Wareham,1.5,6,52,Friday,False,0,0,0,21
2025-05-02 00:15:02.055664-04:00,206411914728451107,Road maintenance operations,1,41.67551,-71.09575,1,0,Westport,21.75,6,657,Friday,False,0,0,0,5
2025-05-02 00:45:02.160844-04:00,116973982831266558,Road maintenance operations,3,41.53059,-71.46461,1,0,North Kingstown,1.0,26,657,Friday,False,0,0,0,19
2025-05-02 01:15:02.338188-04:00,2075774506569976628,Road maintenance operations,3,41.52913,-71.46578,1,1,North Kingstown,0.5,30,657,Friday,False,0,0,0,19
2025-05-02 01:45:02.449054-04:00,2983443861697712253,Road maintenance operations,1,41.78523,-70.73523,1,1,West Wareham,3.5,2,657,Friday,False,0,0,0,21
2025-05-02 04:15:01.970631-04:00,3077916443704156279,Road maintenance operations,1,41.71397,-71.17841,1,4,Somerset,1.0,11,657,Friday,False,0,0,0,17
2025-05-02 04:15:01.970722-04:00,77600365918014536,Road maintenance operations,1,41.71363,-71.17822,1,4,Somerset,1.0,11,657,Friday,False,0,0,0,17
2025-05-02 06:15:02.488065-04:00,2811498752287656902,Right lane closed,2,41.95643,-71.30369,1,6,Attleboro,1.0,8,52,Friday,False,0,0,0,8
2025-05-02 06:15:02.488071-04:00,3028674283666749532,Accident,1,41.87442,-71.0548,4,6,Taunton,0.25,2,20,Friday,False,0,0,0,22
2025-05-02 06:15:02.488081-04:00,1952332427447844215,Construction work,1,41.8162,-71.37464,1,6,East Providence,1.75,13,235,Friday,False,0,0,0,3
2025-05-02 06:15:02.488097-04:00,3183183496143758330,Construction work,1,41.81669,-71.37605,1,6,East Providence,1.75,13,235,Friday,False,0,0,0,3
2025-05-02 06:15:02.488145-04:00,2472266602834501960,Road maintenance operations,3,41.52913,-71.46578,1,6,North Kingstown,1.0,27,657,Friday,False,0,0,0,19
2025-05-02 06:30:02.096488-04:00,3028674283672753569,Accident,1,41.87442,-71.0548,4,6,Taunton,0.5,2,20,Friday,False,0,0,0,22
2025-05-02 06:45:01.592031-04:00,1784876842287918689,Road construction,1,41.49466,-71.45741,1,6,Wakefield,6.0,4,221,Friday,False,0,0,0,23
2025-05-02 06:45:01.592048-04:00,613243246859302378,Road construction,1,41.49473,-71.4566,1,6,Wakefield,6.0,4,221,Friday,False,0,0,0,23
2025-05-02 06:45:01.592079-04:00,2337704996729581130,Road construction. Right lane closed,1,41.41156,-71.85552,1,6,North Stonington,6.0,1,46,Friday,False,0,0,0,15
2025-05-02 07:00:02.184599-04:00,3619975141117924325,One lane blocked,2,41.53093,-71.46651,1,7,North Kingstown,0.25,40,1,Friday,False,0,0,0,19
2025-05-02 07:15:01.743711-04:00,3282493554420368254,Road construction. Right lane closed,1,41.81454,-71.40648,1,7,Providence,7.75,13,46,Friday,False,0,0,0,6
2025-05-02 07:15:01.743761-04:00,3156717738435046940,Road construction on the shoulder,1,41.44153,-71.48844,1,7,Wakefield,5.5,3,16,Friday,False,0,0,0,23
2025-05-02 07:15:01.743791-04:00,1573927599198925817,Road construction on the shoulder,1,41.61825,-71.20574,1,7,Tiverton,6.75,7,16,Friday,False,0,0,0,24
2025-05-02 07:15:01.743827-04:00,310176076192412097,Road construction,1,41.69656,-71.48344,1,7,Warwick,8.0,6,221,Friday,False,0,0,0,25
2025-05-02 07:15:01.743832-04:00,3292135119010012712,Road construction,1,41.69656,-71.48344,1,7,Warwick,6.75,6,221,Friday,False,0,0,0,25
